Temp         Pressure       HRgas
270            2e7          -1042.8 
270            3e7          -1307.3
270            4e7          -1349.4
270            5e7          -1278.1
270            6e7          -1147.6
270            7e7          -983.19
270            8e7          -797.97
275            2e7          -979.97
275            3e7          -1234.2
275            4e7          -1274.8
275            5e7            -1203
275            6e7          -1071.7
275            7e7          -906.24
275            8e7          -719.82
280            2e7          -917.52
280            3e7          -1159.5
280            4e7          -1196.9
280            5e7          -1123.4
280            6e7          -990.48
280            7e7           -823.4
280            8e7          -635.25
285            2e7          -855.36
285            3e7          -1083.2
285            4e7          -1115.8
285            5e7          -1039.5
285            6e7          -904.16
285            7e7          -734.74
285            8e7           -544.3
290            2e7          -793.42
290            3e7          -1005.5
290            4e7          -1031.7
290            5e7          -951.42
290            6e7          -812.82
290            7e7          -640.36
290            8e7          -447.05
295            2e7          -731.62
295            3e7          -926.53
295            4e7          -944.75
295            5e7          -859.34
295            6e7          -716.54
295            7e7          -540.33
295            8e7          -343.54
300            2e7          -669.89
300            3e7          -846.23
300            4e7          -855.02
300            5e7          -763.32
300            6e7          -615.42
300            7e7          -434.71
300            8e7          -233.81
