Temp        Pressure        NumberArgon     InternalEnergy     Volume
270           2e7             21.3840          -54213.5        5.19979E-027 
270           3e7             22.1400          -54037.1        5.19645E-027
270           4e7             22.6306          -53936.8        5.19391E-027
270           5e7             23.0460          -53850.7        5.18899E-027
270           6e7             23.3050          -53809.4        5.18569E-027
270           7e7             23.5448          -53758.2        5.18185E-027
270           8e7             23.6662          -53726.7        5.17801E-027
275           2e7             20.9434          -54159.3        5.20514E-027
275           3e7             21.9444          -53948.5        5.20137E-027
275           4e7             22.4556          -53840.0        5.19822E-027
275           5e7             22.8742          -53737.9        5.19438E-027
275           6e7             23.1742          -53684.6        5.19038E-027
275           7e7             23.3480          -53659.5        5.18576E-027
275           8e7             23.5910          -53578.0        5.18421E-027
280           2e7             20.5336          -54108.4        5.20897E-027
280           3e7             21.5980          -53864.2        5.20708E-027
280           4e7             22.2426          -53732.6        5.20496E-027
280           5e7             22.7274          -53637.1        5.20125E-027
280           6e7             22.9710          -53567.0        5.19856E-027
280           7e7             23.2468          -53511.5        5.19308E-027
280           8e7             23.4974          -53488.9        5.18752E-027
285           2e7             20.1744          -54046.1        5.21478E-027
285           3e7             21.2244          -53800.2        5.21259E-027
285           4e7             21.9928          -53629.7        5.20995E-027
285           5e7             22.5176          -53537.0        5.20484E-027
285           6e7             22.8322          -53460.7        5.20176E-027
285           7e7             23.1580          -53416.0        5.19775E-027
285           8e7             23.3730          -53372.7        5.19308E-027
290           2e7             19.5394          -54031.3        5.21989E-027
290           3e7             20.9618          -53707.6        5.21737E-027
290           4e7             21.6662          -53567.1        5.21576E-027
290           5e7             22.1792          -53428.0        5.21253E-027
290           6e7             22.6070          -53357.4        5.20812E-027
290           7e7             23.0104          -53271.1        5.20490E-027
290           8e7             23.1842          -53252.8        5.19979E-027
295           2e7             19.0694          -54001.2        5.22454E-027
295           3e7             20.5784          -53654.3        5.22134E-027
295           4e7             21.3858          -53476.8        5.21987E-027
295           5e7             22.0380          -53341.6        5.21754E-027
295           6e7             22.4646          -53248.0        5.21364E-027
295           7e7             22.8354          -53160.1        5.20967E-027
295           8e7             23.0924          -53127.6        5.20418E-027
300           2e7             18.4754          -53985.0        5.22831E-027
300           3e7             20.0666          -53614.7        5.22791E-027
300           4e7             21.1184          -53380.4        5.22633E-027
300           5e7             21.7244          -53254.8        5.22200E-027
300           6e7             22.2480          -53144.2        5.21823E-027
300           7e7             22.5814          -53063.8        5.21629E-027
300           8e7             22.9650          -53003.2        5.21101E-027






















































































































































































