Temp (K)     Pressure (Pa)      xHg         xHw        Volume(m3/mol)
 280          2.5e+06      0.105870       0.89413    2.0553e-05
 280       2.2308e+06      0.101780       0.89822    2.0641e-05
 280       1.9905e+06      0.097081       0.90292    2.0748e-05
 280       1.7762e+06      0.093976       0.90602     2.082e-05
 280       1.5849e+06      0.088698        0.9113    2.0945e-05
 280       1.4142e+06      0.084139       0.91586    2.1038e-05
 280       1.2619e+06      0.079994       0.92001    2.1145e-05
 280        1.126e+06      0.075425       0.92458    2.1239e-05
 280       1.0048e+06      0.070312       0.92969     2.136e-05
 280       8.9655e+05      0.066311       0.93369    2.1458e-05
 280            8e+05      0.061826       0.93817    2.1556e-05
 280          2.5e+06       0.10587       0.89413    2.0553e-05
 280       2.3909e+06       0.10416       0.89584    2.0587e-05
 280       2.2865e+06       0.10289       0.89711    2.0617e-05
 280       2.1867e+06       0.10087       0.89913    2.0668e-05
 280       2.0913e+06      0.099316       0.90068    2.0696e-05
 280            2e+06       0.09774       0.90226    2.0732e-05
 280       1.9127e+06      0.095871       0.90413    2.0778e-05
 280       1.8292e+06      0.094198        0.9058    2.0815e-05
 280       1.7494e+06       0.09285       0.90715    2.0847e-05
 280        1.673e+06      0.090901        0.9091    2.0889e-05
 280          1.6e+06      0.089411       0.91059    2.0924e-05
 280          2.5e+06      0.10587        0.89413    2.0553e-05
 280       2.4898e+06      0.10549        0.89451    2.0559e-05
 280       2.4797e+06      0.10498        0.89502    2.0567e-05
 280       2.4696e+06      0.10512        0.89488    2.0571e-05
 280       2.4595e+06      0.10494        0.89506    2.0569e-05
 280       2.4495e+06      0.10483        0.89517    2.0575e-05
 280       2.4395e+06      0.10444        0.89556     2.058e-05
 280       2.4296e+06      0.10462        0.89538    2.0577e-05
 280       2.4197e+06      0.10432        0.89568    2.0583e-05
 280       2.4098e+06      0.10442        0.89558    2.0584e-05
 280          2.4e+06       0.1042         0.8958    2.0586e-05
 280          2.5e+06      0.10587        0.89413    2.0553e-05
 280       2.5625e+06      0.10602        0.89398    2.0543e-05
 280       2.6265e+06      0.10749        0.89251    2.0513e-05
 280       2.6922e+06       0.1082         0.8918    2.0498e-05
 280       2.7595e+06      0.10852        0.89148    2.0484e-05
 280       2.8284e+06      0.10976        0.89024    2.0457e-05
 280       2.8991e+06      0.11032        0.88968    2.0445e-05
 280       2.9716e+06      0.11095        0.88905    2.0433e-05
 280       3.0458e+06      0.11205        0.88795    2.0406e-05
 280        3.122e+06      0.11264        0.88736    2.0392e-05
 280          3.2e+06      0.11392        0.88608    2.0365e-05
 280          2.5e+06       0.10587        0.89413   2.0553e-05
 280       2.6203e+06         0.107          0.893   2.0528e-05
 280       2.7464e+06       0.10862        0.89138   2.0485e-05
 280       2.8786e+06        0.1102         0.8898   2.0452e-05
 280       3.0171e+06       0.11146        0.88854   2.0419e-05
 280       3.1623e+06       0.11308        0.88692   2.0383e-05
 280       3.3145e+06       0.11429        0.88571   2.0352e-05
 280        3.474e+06       0.11596        0.88404   2.0314e-05
 280       3.6411e+06       0.11723        0.88277   2.0288e-05
 280       3.8163e+06       0.11807        0.88193   2.0271e-05
 280            4e+06       0.11942        0.88058   2.0241e-05
 280          2.5e+06       0.10587        0.89413   2.0553e-05
 280       2.6794e+06       0.10785        0.89215   2.0502e-05
 280       2.8717e+06       0.10983        0.89017   2.0458e-05
 280       3.0779e+06       0.11179        0.88821   2.0413e-05
 280       3.2988e+06       0.11416        0.88584   2.0359e-05
 280       3.5355e+06        0.1162         0.8838   2.0314e-05
 280       3.7893e+06       0.11817        0.88183   2.0262e-05
 280       4.0613e+06       0.11993        0.88007   2.0229e-05
 280       4.3528e+06       0.12152        0.87848   2.0195e-05
 280       4.6652e+06       0.12347        0.87653   2.0142e-05
 280            5e+06       0.12504        0.87496    2.011e-05
