Temp         Pressure       HRgas
 200          8.0e+05      -123.4
 200          1.6e+06     -251.54
 200          2.4e+06     -384.74
 200          3.2e+06     -523.35
 200          4.0e+06     -667.71
 200          5.0e+06     -856.81
 205          8.0e+05     -118.31
 205          1.6e+06     -240.66
 205          2.4e+06     -367.25
 205          3.2e+06     -498.31
 205          4.0e+06     -634.05
 205          5.0e+06      -810.6
 210          8.0e+05     -113.54
 210          1.6e+06     -230.52
 210          2.4e+06     -351.07
 210          3.2e+06     -475.33
 210          4.0e+06      -603.4
 210          5.0e+06     -768.98
 215          8.0e+05     -109.07
 215          1.6e+06     -221.07
 215          2.4e+06     -336.07
 215          3.2e+06     -454.13
 215          4.0e+06     -575.32
 215          5.0e+06     -731.22
 220          8.0e+05     -104.87
 220          1.6e+06     -212.22
 220          2.4e+06     -322.09
 220          3.2e+06     -434.51
 220          4.0e+06     -549.48
 220          5.0e+06     -696.74
 225          8.0e+05     -100.91
 225          1.6e+06     -203.92
 225          2.4e+06     -309.05
 225          3.2e+06     -416.28
 225          4.0e+06      -525.6
 225          5.0e+06     -665.09
 230          8.0e+05     -97.172
 230          1.6e+06     -196.12
 230          2.4e+06     -296.83
 230          3.2e+06     -399.29
 230          4.0e+06     -503.43
 230          5.0e+06     -635.89
 235          8.0e+05     -93.639
 235          1.6e+06     -188.77
 235          2.4e+06     -285.37
 235          3.2e+06      -383.4
 235          4.0e+06      -482.8
 235          5.0e+06     -608.85
 240          8.0e+05     -90.294
 240          1.6e+06     -181.84
 240          2.4e+06     -274.59
 240          3.2e+06     -368.51
 240          4.0e+06     -463.52
 240          5.0e+06     -583.71
 245          8.0e+05     -87.121
 245          1.6e+06     -175.28
 245          2.4e+06     -264.43
 245          3.2e+06     -354.51
 245          4.0e+06     -445.47
 245          5.0e+06     -560.26
 250          8.0e+05     -84.109
 250          1.6e+06     -169.07
 250          2.4e+06     -254.83
 250          3.2e+06     -341.34
 250          4.0e+06     -428.52
 250          5.0e+06     -538.32
 255          8.0e+05     -81.244
 255          1.6e+06     -163.18
 255          2.4e+06     -245.75
 255          3.2e+06      -328.9
 255          4.0e+06     -412.56
 255          5.0e+06     -517.73
 260          8.0e+05     -78.517
 260          1.6e+06     -157.58
 260          2.4e+06     -237.14
 260          3.2e+06     -317.14
 260          4.0e+06     -397.51
 260          5.0e+06     -498.37      
