Temp         Pressure       HRgas
260          7.01E+06     -701.7395
260          7.18E+06     -718.9371
260          7.37E+06     -738.1509
260          7.79E+06     -780.5879
260          8.03E+06     -804.8096
260          8.21E+06     -822.9595
260          8.49E+06     -851.1602
261          7.01E+06     -696.2354
261          7.18E+06     -713.2776
261          7.37E+06     -732.3169
261          7.79E+06     -774.3648
261          8.03E+06     -798.3623
261          8.21E+06     -816.3432
261          8.49E+06     -844.2798
262          7.01E+06     -690.8008
262          7.18E+06     -707.6902
262          7.37E+06     -726.5577
262          7.79E+06     -768.2228
262          8.03E+06     -791.9997
262          8.21E+06     -809.8143
262          8.49E+06     -837.4911
263          7.01E+06     -685.4345
263          7.18E+06     -702.1734
263          7.37E+06     -720.8718
263          7.79E+06     -762.1601
263          8.03E+06     -785.7199
263          8.21E+06     -803.371
263          8.49E+06     -830.7922
264          7.01E+06     -680.135
264          7.18E+06     -696.7256
264          7.37E+06     -715.2575
264          7.79E+06     -756.175
264          8.03E+06     -779.5212
264          8.21E+06     -797.0114
264          8.49E+06     -824.1811
265          7.01E+06     -674.9008
265          7.18E+06     -691.3455
265          7.37E+06     -709.7135
265          7.79E+06     -750.2658
265          8.03E+06     -773.4018
265          8.21E+06     -790.7336
265          8.49E+06     -817.6559
266          7.01E+06     -669.7308
266          7.18E+06     -686.0317
266          7.37E+06     -704.2382
266          7.79E+06     -744.431
266          8.03E+06     -767.36
266          8.21E+06     -784.5359
266          8.49E+06     -811.2147
267          7.01E+06     -664.6235
267          7.18E+06     -680.7828
267          7.37E+06     -698.8303
267          7.79E+06     -738.669
267          8.03E+06     -761.3942
267          8.21E+06     -778.4167
267          8.49E+06     -804.8558
268          7.01E+06     -659.5777
268          7.18E+06     -675.5975
268          7.37E+06     -693.4883
268          7.79E+06     -732.9783
268          8.03E+06     -755.5029
268          8.21E+06     -772.3742
268          8.49E+06     -798.5773
269          7.01E+06     -654.5923
269          7.18E+06     -670.4745
269          7.37E+06     -688.211
269          7.79E+06     -727.3574
269          8.03E+06     -749.6844
269          8.21E+06     -766.4069
269          8.49E+06     -792.3776
270          7.01E+06     -649.666
270          7.18E+06     -665.4127
270          7.37E+06     -682.9971
270          7.79E+06     -721.805
270          8.03E+06     -743.9373
270          8.21E+06     -760.5132
270          8.49E+06     -786.2551
271          7.01E+06     -644.7976
271          7.18E+06     -660.4108
271          7.37E+06     -677.8452
271          7.79E+06     -716.3196
271          8.03E+06     -738.2601
271          8.21E+06     -754.6917
271          8.49E+06     -780.2081
272          7.01E+06     -639.9861
272          7.18E+06     -655.4676
272          7.37E+06     -672.7543
272          7.79E+06     -710.9
272          8.03E+06     -732.6514
272          8.21E+06     -748.9407
272          8.49E+06     -774.2351
273          7.01E+06     -635.2303
273          7.18E+06     -650.582
273          7.37E+06     -667.7231
273          7.79E+06     -705.5448
273          8.03E+06     -727.1099
273          8.21E+06     -743.2591
273          8.49E+06     -768.3346
274          7.01E+06     -630.5293
274          7.18E+06     -645.753
274          7.37E+06     -662.7504
274          7.79E+06     -700.2527
274          8.03E+06     -721.6343
274          8.21E+06     -737.6453
274          8.49E+06     -762.5052
275          7.01E+06     -625.882
275          7.18E+06     -640.9794
275          7.37E+06     -657.8352
275          7.79E+06     -695.0225
275          8.03E+06     -716.2232
275          8.21E+06     -732.098
275          8.49E+06     -756.7454
276          7.01E+06     -621.2873
276          7.18E+06     -636.2602
276          7.37E+06     -652.9763
276          7.79E+06     -689.8531
276          8.03E+06     -710.8753
276          8.21E+06     -726.6159
276          8.49E+06     -751.0539
277          7.01E+06     -616.7444
277          7.18E+06     -631.5943
277          7.37E+06     -648.1727
277          7.79E+06     -684.7433
277          8.03E+06     -705.5896
277          8.21E+06     -721.1978
277          8.49E+06     -745.4292
278          7.01E+06     -612.2522
278          7.18E+06     -626.9809
278          7.37E+06     -643.4233
278          7.79E+06     -679.6919
278          8.03E+06     -700.3647
278          8.21E+06     -715.8424
278          8.49E+06     -739.8703
279          7.01E+06     -607.8098
279          7.18E+06     -622.4189
279          7.37E+06     -638.7273
279          7.79E+06     -674.6979
279          8.03E+06     -695.1995
279          8.21E+06     -710.5485
279          8.49E+06     -734.3756
280          7.01E+06     -603.4163
280          7.18E+06     -617.9074
280          7.37E+06     -634.0835
280          7.79E+06     -669.7601
280          8.03E+06     -690.093
280          8.21E+06     -705.315
280          8.49E+06     -728.9441
281          7.01E+06     -599.0708
281          7.18E+06     -613.4455
281          7.37E+06     -629.491
281          7.79E+06     -664.8776
281          8.03E+06     -685.0439
281          8.21E+06     -700.1408
281          8.49E+06     -723.5746
282          7.01E+06     -594.7726
282          7.18E+06     -609.0323
282          7.37E+06     -624.9489
282          7.79E+06     -660.0493
282          8.03E+06     -680.0513
282          8.21E+06     -695.0246
282          8.49E+06     -718.2658
283          7.01E+06     -590.5207
283          7.18E+06     -604.6669
283          7.37E+06     -620.4563
283          7.79E+06     -655.2743
283          8.03E+06     -675.1142
283          8.21E+06     -689.9656
