Temp         Pressure       HRgas
 200        51.20856e5      -402.8109
 200        60.53505e5      -488.6361
 200        71.56016e5      -592.9093
 200        80.64443e5      -679.7289
 200        100e5           -860.2901
 200        121.07235e5     -1035.8
 200        143.12297e5     -1182.9
 205        51.20856e5      -389.6995
 205        60.53505e5      -472.1238
 205        71.56016e5      -572.174
 205        80.64443e5      -655.5445
 205        100e5           -829.9119
 205        121.07235e5     -1002.3
 205        143.12297e5     -1150.6
 210        51.20856e5      -376.784
 210        60.53505e5      -455.9467
 210        71.56016e5      -551.9492
 210        80.64443e5      -631.9859
 210        100e5           -800.1167
 210        121.07235e5     -968.5986
 210        143.12297e5     -1116.9
 215        51.20856e5      -364.0203
 215        60.53505e5      -440.0395
 215        71.56016e5      -532.1461
 215        80.64443e5      -608.9553
 215        100e5           -770.8612
 215        121.07235e5     -934.9404
 215        143.12297e5     -1082.1
 220        51.20856e5      -351.3701
 220        60.53505e5      -424.346
 220        71.56016e5      -512.6879
 220        80.64443e5      -586.3656
 220        100e5           -742.0907
 220        121.07235e5     -901.3724
 220        143.12297e5     -1046.6
 225        51.20856e5      -338.8004
 225        60.53505e5      -408.8176
 225        71.56016e5      -493.5074
 225        80.64443e5      -564.1391
 225        100e5           -713.7453
 225        121.07235e5     -867.9408
 225        143.12297e5     -1010.5
 230        51.20856e5      -326.2823
 230        60.53505e5      -393.412
 230        71.56016e5      -474.546
 230        80.64443e5      -542.2071
 230        100e5           -685.7642
 230        121.07235e5     -834.6634
 230        143.12297e5     -973.9961
 235        51.20856e5      -313.7905
 235        60.53505e5      -378.0922
 235        71.56016e5      -455.7524
 235        80.64443e5      -520.5084
 235        100e5           -658.0875
 235        121.07235e5     -801.5382
 235        143.12297e5     -937.14
 240        51.20856e5      -301.3024
 240        60.53505e5      -362.8257
 240        71.56016e5      -437.081
 240        80.64443e5      -498.9886
 240        100e5           -630.6581
 240        121.07235e5     -768.5499
 240        143.12297e5     -900.028
 245        51.20856e5      -288.7983
 245        60.53505e5      -347.5836
 245        71.56016e5      -418.4917
 245        80.64443e5      -477.5991
 245        100e5           -603.4218
 245        121.07235e5     -735.6744
 245        143.12297e5     -862.7073
 250        51.20856e5      -276.2603
 250        60.53505e5      -332.3403
 250        71.56016e5      -399.9489
 250        80.64443e5      -456.2965
 250        100e5           -576.3282
 250        121.07235e5     -702.8817
 250        143.12297e5     -825.2051
 255        51.20856e5      -263.6726
 255        60.53505e5      -317.073
 255        71.56016e5      -381.4206
 255        80.64443e5      -435.0418
 255        100e5           -549.3303
 255        121.07235e5     -670.1389
 255        143.12297e5     -787.5333
 260        51.20856e5      -251.0207
 260        60.53505e5      -301.7609
 260        71.56016e5      -362.8781
 260        80.64443e5      -413.7999
 260        100e5           -522.3847
 260        121.07235e5     -637.4113
 260        143.12297e5     -749.6927
 265        51.20856e5      -238.2917
 265        60.53505e5      -286.3857
 265        71.56016e5      -344.2957
 265        80.64443e5      -392.5391
 265        100e5           -495.4512
 265        121.07235e5     -604.6637
 265        143.12297e5     -711.6752
 270        51.20856e5      -225.4739
 270        60.53505e5      -270.9305
 270        71.56016e5      -325.6499
 270        80.64443e5      -371.2307
 270        100e5           -468.4924
 270        121.07235e5     -571.8612
 270        143.12297e5     -673.4668
 275        51.20856e5      -212.5564
 275        60.53505e5      -255.3801
 275        71.56016e5      -306.9196
 275        80.64443e5      -349.8483
 275        100e5           -441.474
 275        121.07235e5     -538.9696
 275        143.12297e5     -635.049
 280        51.20856e5      -199.5294
 280        60.53505e5      -239.7204
 280        71.56016e5      -288.0853
 280        80.64443e5      -328.3682
 280        100e5           -414.364
 280        121.07235e5     -505.9557
 280        143.12297e5     -596.4
 285        51.20856e5      -186.3839
 285        60.53505e5      -223.9387
 285        71.56016e5      -269.1294
 285        80.64443e5      -306.7683
 285        100e5           -387.133
 285        121.07235e5     -472.7873
 285        143.12297e5     -557.4962
 290        51.20856e5      -173.1114
 290        60.53505e5      -208.0233
 290        71.56016e5      -250.0355
 290        80.64443e5      -285.0283
 290        100e5           -359.7532
 290        121.07235e5     -439.4339
 290        143.12297e5     -518.3123
 295        51.20856e5      -159.7043
 295        60.53505e5      -191.9631
 295        71.56016e5      -230.7885
 295        80.64443e5      -263.1297
 295        100e5           -332.1991
 295        121.07235e5     -405.8658
 295        143.12297e5     -478.8224
 300        51.20856e5      -146.1553
 300        60.53505e5      -175.7482
 300        71.56016e5      -211.3744
 300        80.64443e5      -241.0551
 300        100e5           -304.4465
 300        121.07235e5     -372.0547
 300        143.12297e5     -439.0001
