Temp        Pressure        NumberArgon     InternalEnergy     Volume
200        51.20856e5       23.5202         -55656.9          5.13271E-027
200        60.53505e5       23.5832         -55649.7          5.13298E-027
200        71.56016e5       23.6544         -55630.2          5.13302E-027
200        80.64443e5       23.6613         -55610.6          5.13371E-027
200        100e5            23.7594         -55608.1          5.13266E-027
200        121.07235e5      23.8285         -55581.3          5.13475E-027
200        143.12297e5      23.8729         -55581.7          5.13324E-027
205        51.20856e5       23.3375         -55562.8          5.13813E-027
205        60.53505e5       23.4139         -55562.2          5.13695E-027
205        71.56016e5       23.5493         -55521.0          5.13822E-027
205        80.64443e5       23.5850         -55511.4          5.13764E-027
205        100e5            23.6525         -55484.5          5.13953E-027
205        121.07235e5      23.7440         -55473.6          5.13851E-027
205        143.12297e5      23.7941         -55463.4          5.13935E-027
210        51.20856e5       23.1125         -55486.9          5.14279E-027
210        60.53505e5       23.2620         -55448.8          5.14257E-027
210        71.56016e5       23.3793         -55424.8          5.14318E-027
210        80.64443e5       23.4706         -55400.8          5.14370E-027
210        100e5            23.5493         -55379.9          5.14412E-027
210        121.07235e5      23.6427         -55350.8          5.14444E-027
210        143.12297e5      23.7199         -55334.2          5.14553E-027
215        51.20856e5       22.8214         -55418.0          5.14849E-027
215        60.53505e5       23.0129         -55371.4          5.14897E-027
215        71.56016e5       23.1620         -55336.4          5.14802E-027
215        80.64443e5       23.2940         -55311.8          5.14933E-027
215        100e5            23.4123         -55277.2          5.14978E-027
215        121.07235e5      23.5130         -55247.5          5.14922E-027
215        143.12297e5      23.6036         -55235.6          5.14975E-027
220        51.20856e5       22.5785         -55336.4          5.15384E-027
220        60.53505e5       22.7519         -55291.0          5.15482E-027
220        71.56016e5       22.9694         -55251.8          5.15308E-027
220        80.64443e5       23.0310         -55230.2          5.15346E-027
220        100e5            23.2266         -55178.0          5.15407E-027
220        121.07235e5      23.3803         -55147.5          5.15427E-027
220        143.12297e5      23.4675         -55117.2          5.15556E-027
225        51.20856e5       22.1780         -55293.5          5.15890E-027
225        60.53505e5       22.3950         -55238.8          5.15901E-027
225        71.56016e5       22.6720         -55177.0          5.15871E-027
225        80.64443e5       22.8216         -55138.4          5.15973E-027
225        100e5            23.0553         -55082.3          5.16053E-027
